ir	red	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z	ppg_ent	ppg_corr	samp_no	isi	batt%	rh	at	ts
17000	8193	-0.13843	0.36938	0.90747	-1.15967	-1.70898	-2.38037	0.00000	0.00000	27	6872
17010	8171	-0.13843	0.36938	0.90747	-1.46484	-1.77002	-2.31934	0.00000	0.00000	28	6672
17004	8188	-0.13794	0.37012	0.91333	-2.19727	-2.13623	-2.07520	0.00000	0.00000	29	6970
17004	8188	-0.13525	0.37158	0.92017	-2.38037	-2.56348	-1.77002	0.00000	0.00000	30	6716
16992	8178	-0.13525	0.37158	0.92017	-2.56348	-2.74658	-1.58691	0.00000	0.00000	31	6667
16996	8204	-0.13330	0.37280	0.92505	-2.31934	-3.72314	-1.34277	0.00000	0.00000	32	6693
16996	8204	-0.13135	0.36768	0.92725	-2.38037	-4.02832	-1.09863	0.00000	0.00000	33	6736
16990	8188	-0.13135	0.36768	0.92725	-2.19727	-4.33350	-1.28174	0.00000	0.00000	34	6825
17010	8175	-0.12866	0.36182	0.92627	-1.83105	-4.51660	-2.07520	0.00000	0.00000	35	6783
17010	8175	-0.12793	0.35425	0.92383	-1.77002	-4.45557	-2.80762	0.00000	0.00000	36	6809
16998	8183	-0.12915	0.35303	0.92700	-1.52588	-3.72314	-4.33350	0.00000	0.00000	37	6814
16983	8155	-0.12915	0.35303	0.92700	-1.70898	-3.78418	-4.76074	0.00000	0.00000	38	6722
16983	8155	-0.13062	0.35913	0.92334	-1.46484	-3.72314	-4.88281	0.00000	0.00000	39	7005
16972	8177	-0.13208	0.36182	0.91479	-0.79346	-4.08936	-4.76074	0.00000	0.00000	40	6802	99.24	49.06	27.57	1719923430
16936	8164	-0.13135	0.35815	0.91187	-0.30518	-4.27246	-4.76074	0.00000	0.00000	41	9471
16930	8156	-0.13135	0.35815	0.91187	0.00000	-4.45557	-5.00488	0.00000	0.00000	42	6901
16930	8156	-0.13232	0.35596	0.90771	-0.30518	-4.76074	-4.94385	0.00000	0.00000	43	6809
16907	8155	-0.13062	0.35327	0.89746	-0.73242	-5.06592	-5.67627	0.00000	0.00000	44	6873
16917	8165	-0.13062	0.35327	0.89746	-0.85449	-5.00488	-6.34766	0.00000	0.00000	45	6806
16917	8165	-0.13232	0.35278	0.88940	-0.79346	-4.94385	-6.95801	0.00000	0.00000	46	6864
16906	8161	-0.13501	0.35034	0.89355	-1.03760	-4.33350	-7.81250	0.00000	0.00000	47	7105
16903	8113	-0.13501	0.35034	0.89355	-1.09863	-4.15039	-8.11768	0.00000	0.00000	48	6849
16903	8113	-0.13818	0.35303	0.89502	-1.40381	-4.08936	-8.97217	0.00000	0.00000	49	6856
16915	8142	-0.13892	0.35596	0.89697	-1.22070	-3.90625	-8.78906	0.00000	0.00000	50	6890
16847	8137	-0.13892	0.35596	0.89697	-1.15967	-3.84521	-8.85010	0.00000	0.00000	51	6902
16847	8137	-0.14209	0.35718	0.90039	-1.09863	-4.02832	-9.03320	0.00000	0.00000	52	6684
16898	8137	-0.14502	0.35718	0.90430	-0.97656	-4.27246	-8.85010	0.00000	0.00000	53	6885
